id,position,country,jurisdiction,deputy,list,start,end,before,after,enwiki
Q890010,President of Sierra Leone,Q1044,Q1044,Q2687682,,1971-04-19,,,,President of Sierra Leone
Q2687682,Vice President of Sierra Leone,Q1044,,,,,,,,Vice-President of Sierra Leone
Q56295070,Chief Minister of Sierra Leone,,Q1044,,,2018-05-08,,,,Chief Minister of Sierra Leone
Q113975484,"Minister of Agriculture, Forestry and Food Security",,Q1044,,,,,,,
Q113975504,Minister of Defence and National Security of Sierra Leone,,Q1044,,,,,,,
Q113975512,Minister of Education of Sierra Leone,,Q1044,,,,,,,
Q113976403,Minister of Energy of Sierra Leone,Q1044,Q1044,,,,,,,
Q113976455,Minister of the Environment of Sierra Leone,Q1044,Q1044,,,,,,,
Q98881833,Minister of Finance of Sierra Leone,Q1044,,,,,,,,
Q4294925,Minister of Foreign Affairs and International Cooperation,Q1044,Q1044,,,,,,,Minister of Foreign Affairs and International Cooperation (Sierra Leone)
Q113976406,Minister of Gender and Child Welfare of Sierra Leone,Q1044,Q1044,,,,2019-11-08,,Q113976866,
Q112666898,Minister of Health of Sierra Leone,Q1044,,,,,,,,
Q113975525,Minister of Information and Communication of Sierra Leone,,Q1044,,,,,,,
Q113976410,Minister of Internal Affairs of Sierra Leone,Q1044,Q1044,,,,,,,
Q55647622,Attorney General and Minister of Justice of Sierra Leone,Q1044,,,,,,,,Attorney-General and Minister of Justice
Q113976397,Minister of Labour and Social Security of Sierra Leone,Q1044,Q1044,,,,,,,
Q113975536,Minister of Lands and Country Planning of Sierra Leone,,Q1044,,,,,,,
Q113975545,Minister of Local Government and Rural Development of Sierra Leone,,Q1044,,,,,,,
Q113976426,Minister of Marine Resources of Sierra Leone,Q1044,Q1044,,,,,,,
Q113975561,Minister of Mineral Resources of Sierra Leone,,Q1044,,,,,,,
Q113976436,Minister of Planning and Economic Development of Sierra Leone,Q1044,Q1044,,,,,,,
Q113976445,Minister of Political and Public Affairs of Sierra Leone,,Q1044,,,,,,,
Q113976866,Minister of Social Welfare of Sierra Leone,Q1044,Q1044,,,2019-11-08,,Q113976406,,
Q113976447,Minister of Sport of Sierra Leone,Q1044,Q1044,,,,,,,
Q113976776,Minister of Technical and Higher Education of Sierra Leone,Q1044,Q1044,,,,,,,
Q113976451,Minister of Tourism and Cultural Affairs of Sierra Leone,Q1044,Q1044,,,,,,,
Q113976408,Minister of Trade and Industry of Sierra Leone,Q1044,Q1044,,,,,,,
Q113976453,Minister of Transport and Aviation of Sierra Leone,Q1044,Q1044,,,,,,,
Q113976458,Minister of Water Resources of Sierra Leone,Q1044,Q1044,,,,,,,
Q113976468,Minister of Works and Public Assets of Sierra Leone,Q1044,Q1044,,,,,,,
Q113976412,Minister of Youth of Sierra Leone,Q1044,Q1044,,,,,,,
